OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,GEOID_1,NAME_1,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,P2_001N,P2_002N,P2_003N,P2_004N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N,P2_012N,P2_013N,P2_014N,P2_015N,P2_016N,P2_017N,P2_018N,P2_019N,P2_020N,P2_021N,P2_022N,P2_023N,P2_024N,P2_025N,P2_026N,P2_027N,P2_028N,P2_029N,P2_030N,P2_031N,P2_032N,P2_033N,P2_034N,P2_035N,P2_036N,P2_037N,P2_038N,P2_039N,P2_040N,P2_041N,P2_042N,P2_043N,P2_044N,P2_045N,P2_046N,P2_047N,P2_048N,P2_049N,P2_050N,P2_051N,P2_052N,P2_053N,P2_054N,P2_055N,P2_056N,P2_057N,P2_058N,P2_059N,P2_060N,P2_061N,P2_062N,P2_063N,P2_064N,P2_065N,P2_066N,P2_067N,P2_068N,P2_069N,P2_070N,P2_071N,P2_072N,P2_073N,ShapeSTArea,ShapeSTLength
26,31,109,002200,31109002200,22,Census Tract 22,G5020,S,3557509,1312,+40.7922439,-096.7093767,1400000US31109002200,31109002200,"Census Tract 22, Lancaster County, Nebraska",5550,4953,3711,490,115,265,2,370,597,549,141,104,29,8,230,11,2,0,3,0,0,14,0,4,3,47,28,4,1,3,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5550,843,4707,4377,3557,477,55,265,0,23,330,301,129,86,25,8,39,8,1,0,3,0,0,0,0,2,0,29,23,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38310855.7402631,24958.8207100147
27,31,109,002701,31109002701,27.01,Census Tract 27.01,G5020,S,1296119,0,+40.7734050,-096.6538481,1400000US31109002701,31109002701,"Census Tract 27.01, Lancaster County, Nebraska",3017,2754,2402,107,31,42,14,158,263,250,32,46,29,12,114,0,2,0,5,0,0,2,6,2,0,11,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3017,352,2665,2518,2311,93,23,41,14,36,147,136,29,42,29,12,14,0,2,0,2,0,0,0,6,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13952758.4974339,15820.0851490022
28,31,109,003003,31109003003,30.03,Census Tract 30.03,G5020,S,4507206,117847,+40.8436596,-096.6926649,1400000US31109003003,31109003003,"Census Tract 30.03, Lancaster County, Nebraska",5185,4715,3425,529,64,304,0,393,470,427,117,75,30,1,183,10,3,1,3,0,0,2,0,2,0,40,10,0,1,0,7,0,14,1,6,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5185,845,4340,4079,3227,508,31,302,0,11,261,241,103,64,30,1,26,10,3,1,0,0,0,1,0,2,0,18,10,0,1,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49788904.5048625,29632.9574600272
29,31,109,003102,31109003102,31.02,Census Tract 31.02,G5020,S,8528247,16969,+40.8671206,-096.7436799,1400000US31109003102,31109003102,"Census Tract 31.02, Lancaster County, Nebraska",6051,5661,5119,171,28,242,0,101,390,368,69,55,76,1,152,4,4,0,1,1,0,1,4,0,0,21,7,1,1,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6051,367,5684,5432,4992,170,17,242,0,11,252,241,65,48,75,1,37,4,4,0,1,1,0,1,4,0,0,11,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91989707.7614283,44643.9648836987
30,31,109,001102,31109001102,11.02,Census Tract 11.02,G5020,S,1668883,0,+40.8315857,-096.6181702,1400000US31109001102,31109001102,"Census Tract 11.02, Lancaster County, Nebraska",3417,3193,2969,70,12,82,3,57,224,213,45,48,27,0,90,0,0,0,2,0,0,0,0,1,0,6,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3417,173,3244,3094,2916,69,12,77,3,17,150,145,38,48,24,0,32,0,0,0,2,0,0,0,0,1,0,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17965635.0509084,18855.4745106717
31,31,109,003401,31109003401,34.01,Census Tract 34.01,G5020,S,9772375,31408,+40.7952920,-096.7715464,1400000US31109003401,31109003401,"Census Tract 34.01, Lancaster County, Nebraska",6499,6023,4711,453,134,351,3,371,476,442,62,91,42,6,223,4,5,0,2,2,0,3,0,2,0,31,17,4,0,3,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6499,719,5780,5516,4585,450,119,347,0,15,264,241,61,86,42,6,33,4,5,0,2,0,0,1,0,1,0,23,16,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105538320.898205,41917.7484503395
32,31,109,001002,31109001002,10.02,Census Tract 10.02,G5020,S,935458,0,+40.8174012,-096.6465632,1400000US31109001002,31109001002,"Census Tract 10.02, Lancaster County, Nebraska",1658,1543,1252,84,12,145,5,45,115,109,33,17,8,3,43,0,3,0,0,0,0,0,0,2,0,6,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658,156,1502,1435,1200,84,6,139,5,1,67,66,31,13,7,3,8,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10070258.7120939,14343.9499326019
33,31,109,003716,31109003716,37.16,Census Tract 37.16,G5020,S,2538243,0,+40.7335535,-096.6728474,1400000US31109003716,31109003716,"Census Tract 37.16, Lancaster County, Nebraska",5011,4690,4234,122,11,277,1,45,321,314,56,39,62,9,131,3,1,0,3,0,0,2,2,6,0,6,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5011,227,4784,4580,4170,119,8,274,1,8,204,199,53,34,62,9,29,1,1,0,2,0,0,0,2,6,0,5,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27324277.5484953,20766.0136359143
34,31,109,003714,31109003714,37.14,Census Tract 37.14,G5020,S,7095465,0,+40.7371496,-096.6285878,1400000US31109003714,31109003714,"Census Tract 37.14, Lancaster County, Nebraska",5111,4823,4565,49,6,164,0,39,288,270,67,45,49,0,102,2,0,0,3,0,0,2,0,0,0,18,0,7,0,2,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5111,175,4936,4724,4506,41,5,164,0,8,212,199,58,38,49,0,49,2,0,0,3,0,0,0,0,0,0,13,0,7,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76383112.5861986,38036.9847752038
35,31,109,002001,31109002001,20.01,Census Tract 20.01,G5020,S,543322,0,+40.8041880,-096.6997014,1400000US31109002001,31109002001,"Census Tract 20.01, Lancaster County, Nebraska",2473,2222,1487,353,55,150,0,177,251,233,45,60,17,0,90,5,2,0,8,0,0,5,1,0,0,18,7,1,0,1,0,0,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473,381,2092,1950,1420,338,27,149,0,16,142,129,39,52,12,0,12,5,2,0,6,0,0,0,1,0,0,13,7,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5848858.82258411,10495.3757466327
36,31,109,010402,31109010402,104.02,Census Tract 104.02,G5020,S,329418708,991901,+40.6315549,-096.5325168,1400000US31109010402,31109010402,"Census Tract 104.02, Lancaster County, Nebraska",5239,5008,4874,25,8,34,2,65,231,221,30,55,25,1,106,0,1,0,2,0,0,1,0,0,0,10,5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5239,196,5043,4881,4805,25,8,33,2,8,162,157,29,55,25,1,44,0,1,0,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3556900152.0651,312964.372174489
37,31,109,003727,31109003727,37.27,Census Tract 37.27,G5020,S,5220437,0,+40.8205329,-096.5868805,1400000US31109003727,31109003727,"Census Tract 37.27, Lancaster County, Nebraska",2651,2530,2285,47,7,148,0,43,121,116,16,30,14,0,56,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2651,116,2535,2452,2250,45,7,145,0,5,83,81,15,27,14,0,25,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56198339.2475712,31910.1658307985
38,31,109,003728,31109003728,37.28,Census Tract 37.28,G5020,S,24707454,26042,+40.8638673,-096.5769735,1400000US31109003728,31109003728,"Census Tract 37.28, Lancaster County, Nebraska",4397,4156,3766,150,14,169,3,54,241,226,63,30,46,0,82,1,1,0,2,0,0,0,0,1,0,15,7,0,0,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4397,166,4231,4051,3709,142,9,164,3,24,180,169,61,26,46,0,32,1,1,0,1,0,0,0,0,1,0,11,5,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266257674.741171,72819.0344691711
