OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,GEOID_1,NAME_1,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,P2_001N,P2_002N,P2_003N,P2_004N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N,P2_012N,P2_013N,P2_014N,P2_015N,P2_016N,P2_017N,P2_018N,P2_019N,P2_020N,P2_021N,P2_022N,P2_023N,P2_024N,P2_025N,P2_026N,P2_027N,P2_028N,P2_029N,P2_030N,P2_031N,P2_032N,P2_033N,P2_034N,P2_035N,P2_036N,P2_037N,P2_038N,P2_039N,P2_040N,P2_041N,P2_042N,P2_043N,P2_044N,P2_045N,P2_046N,P2_047N,P2_048N,P2_049N,P2_050N,P2_051N,P2_052N,P2_053N,P2_054N,P2_055N,P2_056N,P2_057N,P2_058N,P2_059N,P2_060N,P2_061N,P2_062N,P2_063N,P2_064N,P2_065N,P2_066N,P2_067N,P2_068N,P2_069N,P2_070N,P2_071N,P2_072N,P2_073N,ShapeSTArea,ShapeSTLength
39,31,109,010203,31109010203,102.03,Census Tract 102.03,G5020,S,8690223,12670,+40.8932095,-096.7297885,1400000US31109010203,31109010203,"Census Tract 102.03, Lancaster County, Nebraska",1716,1646,1531,20,0,77,2,16,70,65,16,2,14,1,31,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716,43,1673,1620,1518,19,0,77,1,5,53,48,13,2,13,1,18,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93687081.2716385,40391.5144484337
40,31,109,003005,31109003005,30.05,Census Tract 30.05,G5020,S,3044143,0,+40.8620698,-096.6987527,1400000US31109003005,31109003005,"Census Tract 30.05, Lancaster County, Nebraska",4809,4489,3322,327,12,756,1,71,320,299,81,52,50,2,98,9,2,0,3,0,0,1,1,0,0,21,8,1,0,3,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4809,272,4537,4314,3242,311,6,751,0,4,223,210,81,47,48,2,19,9,2,0,1,0,0,0,1,0,0,13,7,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32770348.8584154,26735.0419807441
41,31,109,003004,31109003004,30.04,Census Tract 30.04,G5020,S,2101120,0,+40.8735883,-096.6887063,1400000US31109003004,31109003004,"Census Tract 30.04, Lancaster County, Nebraska",2958,2780,2216,85,10,425,0,44,178,173,42,33,27,0,64,2,3,0,2,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2958,114,2844,2714,2187,84,8,425,0,10,130,126,38,30,27,0,24,2,3,0,2,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22618621.0614282,22248.8585660233
42,31,109,010204,31109010204,102.04,Census Tract 102.04,G5020,S,8707743,0,+40.8840187,-096.7054919,1400000US31109010204,31109010204,"Census Tract 102.04, Lancaster County, Nebraska",4567,4205,3366,178,18,527,8,108,362,343,77,46,47,0,156,8,2,0,6,1,0,0,0,0,0,15,5,2,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4567,380,4187,4005,3280,174,6,527,7,11,182,170,71,33,47,0,12,6,0,0,0,1,0,0,0,0,0,12,5,2,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93739238.5145317,42900.6710398493
43,31,109,003722,31109003722,37.22,Census Tract 37.22,G5020,S,2640838,396740,+40.7778618,-096.6330066,1400000US31109003722,31109003722,"Census Tract 37.22, Lancaster County, Nebraska",1864,1742,1641,19,11,24,1,46,122,104,9,27,15,1,50,0,0,0,2,0,0,0,0,0,0,18,5,0,2,0,4,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,108,1756,1677,1621,19,3,24,0,10,79,70,9,22,15,1,23,0,0,0,0,0,0,0,0,0,0,9,5,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32699671.9582596,23280.4593025294
44,31,109,000600,31109000600,6,Census Tract 6,G5020,S,1115508,0,+40.8207436,-096.7004064,1400000US31109000600,31109000600,"Census Tract 6, Lancaster County, Nebraska",6828,6792,5780,245,31,366,0,370,36,31,2,2,6,0,19,0,0,0,1,0,0,0,0,0,1,5,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6828,574,6254,6239,5384,234,21,360,0,240,15,12,0,2,5,0,4,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12008504.3166397,14265.4237810294
45,31,109,000800,31109000800,8,Census Tract 8,G5020,S,1180553,0,+40.8183350,-096.6759218,1400000US31109000800,31109000800,"Census Tract 8, Lancaster County, Nebraska",3597,3094,2116,352,126,152,4,344,503,472,111,52,44,1,222,19,6,0,9,0,0,7,0,1,0,29,17,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597,766,2831,2568,1977,335,81,152,0,23,263,241,96,45,42,1,30,18,6,0,3,0,0,0,0,0,0,22,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12708718.1366215,15115.8955847721
46,31,109,000900,31109000900,9,Census Tract 9,G5020,S,3863487,0,+40.8257421,-096.6628042,1400000US31109000900,31109000900,"Census Tract 9, Lancaster County, Nebraska",3735,3493,2872,196,42,256,5,122,242,231,41,36,27,0,121,0,1,0,2,0,0,2,0,1,0,8,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3735,314,3421,3283,2780,196,17,256,5,29,138,134,40,30,27,0,34,0,1,0,1,0,0,0,0,1,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41590653.0213609,28232.3387978473
47,31,109,001200,31109001200,12,Census Tract 12,G5020,S,4103030,0,+40.8201556,-096.6213735,1400000US31109001200,31109001200,"Census Tract 12, Lancaster County, Nebraska",6546,6075,5474,197,34,223,0,147,471,439,99,84,94,5,143,4,3,0,7,0,0,0,0,0,0,32,16,2,0,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6546,419,6127,5788,5339,188,17,221,0,23,339,314,91,78,94,5,34,4,3,0,5,0,0,0,0,0,0,25,14,1,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44169368.7560886,28470.1450241521
48,31,109,010100,31109010100,101,Census Tract 101,G5020,S,411431943,1006523,+40.9366602,-096.5568851,1400000US31109010100,31109010100,"Census Tract 101, Lancaster County, Nebraska",7176,6922,6775,32,14,53,1,47,254,250,36,75,32,0,101,2,3,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7176,168,7008,6817,6705,30,13,51,0,18,191,188,36,69,32,0,47,1,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4439934257.34123,316362.04438182
49,31,109,002400,31109002400,24,Census Tract 24,G5020,S,2292784,0,+40.7839287,-096.6814064,1400000US31109002400,31109002400,"Census Tract 24, Lancaster County, Nebraska",3541,3386,3090,134,31,40,0,91,155,149,19,13,27,1,89,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3541,178,3363,3274,3066,133,31,36,0,8,89,85,14,12,27,1,31,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24681855.9202097,21246.649576877
50,31,109,983200,31109983200,9832,Census Tract 9832,G5020,S,15287923,203453,+40.8501788,-096.7605477,1400000US31109983200,31109983200,"Census Tract 9832, Lancaster County, Nebraska",8,5,5,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166765511.399108,59171.7112965014
51,31,109,003604,31109003604,36.04,Census Tract 36.04,G5020,S,73040763,820899,+40.7387438,-096.7476020,1400000US31109003604,31109003604,"Census Tract 36.04, Lancaster County, Nebraska",3702,3516,3326,18,4,103,1,64,186,169,38,21,34,1,69,0,2,0,0,1,0,1,0,2,0,11,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3702,159,3543,3428,3306,17,2,101,0,2,115,105,34,15,34,1,18,0,2,0,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795124657.119324,142371.110307939
52,31,109,002500,31109002500,25,Census Tract 25,G5020,S,3240058,0,+40.7839440,-096.6615192,1400000US31109002500,31109002500,"Census Tract 25, Lancaster County, Nebraska",5417,5050,4676,134,40,85,10,105,367,344,109,63,38,0,120,4,0,0,0,0,0,6,3,1,0,22,13,0,3,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5417,294,5123,4857,4589,134,22,85,10,17,266,245,109,58,33,0,37,4,0,0,0,0,0,0,3,1,0,20,13,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,34879395.1960377,30736.9088843389
53,31,109,001900,31109001900,19,Census Tract 19,G5020,S,850579,0,+40.8130646,-096.7026105,1400000US31109001900,31109001900,"Census Tract 19, Lancaster County, Nebraska",1841,1761,1565,46,10,102,2,36,80,71,15,4,26,0,25,0,0,0,0,0,0,1,0,0,0,9,2,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,86,1755,1699,1518,45,10,102,2,22,56,50,14,3,26,0,7,0,0,0,0,0,0,0,0,0,0,6,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9156519.06931628,12145.5942255967
54,31,109,003709,31109003709,37.09,Census Tract 37.09,G5020,S,2588498,0,+40.7480635,-096.6538916,1400000US31109003709,31109003709,"Census Tract 37.09, Lancaster County, Nebraska",4910,4649,4349,95,19,95,0,91,261,246,44,39,52,2,105,1,0,0,3,0,0,0,0,0,0,15,6,2,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4910,240,4670,4513,4295,91,15,95,0,17,157,149,42,31,50,2,24,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27865286.6268648,20944.1033274519
55,31,109,010300,31109010300,103,Census Tract 103,G5020,S,460857164,3899514,+40.6319846,-096.8100092,1400000US31109010300,31109010300,"Census Tract 103, Lancaster County, Nebraska",4581,4384,4291,18,15,21,0,39,197,186,30,42,16,1,92,0,2,0,0,1,0,0,2,0,0,11,4,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4581,120,4461,4325,4256,17,15,21,0,16,136,129,30,37,16,1,40,0,2,0,0,1,0,0,2,0,0,7,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5003142705.64164,316836.02750835
56,31,109,001301,31109001301,13.01,Census Tract 13.01,G5020,S,2466727,0,+40.8059849,-096.6342730,1400000US31109001301,31109001301,"Census Tract 13.01, Lancaster County, Nebraska",3665,3475,3274,52,22,76,3,48,190,178,24,41,17,0,90,2,1,0,1,0,0,2,0,0,0,12,7,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3665,157,3508,3390,3237,51,18,76,3,5,118,112,24,39,17,0,29,2,1,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26554411.7732659,20629.1233462505
57,31,109,003500,31109003500,35,Census Tract 35,G5020,S,783310,0,+40.7819860,-096.7344412,1400000US31109003500,31109003500,"Census Tract 35, Lancaster County, Nebraska",204,202,154,38,2,5,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,6,198,198,152,38,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8432353.36836261,12657.4245881565
58,31,109,001500,31109001500,15,Census Tract 15,G5020,S,2813111,0,+40.7932153,-096.6560281,1400000US31109001500,31109001500,"Census Tract 15, Lancaster County, Nebraska",4458,4159,3702,146,44,155,0,112,299,284,64,49,38,4,116,7,1,0,3,0,0,2,0,0,0,15,4,3,1,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4458,302,4156,3973,3621,139,18,153,0,42,183,174,59,38,38,4,29,2,1,0,3,0,0,0,0,0,0,9,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30283261.3630297,25791.1783066735
59,31,109,001400,31109001400,14,Census Tract 14,G5020,S,2726301,0,+40.8064054,-096.6532808,1400000US31109001400,31109001400,"Census Tract 14, Lancaster County, Nebraska",4833,4441,4017,135,30,126,13,120,392,363,76,83,46,3,134,5,3,0,3,0,0,9,0,1,0,29,7,0,1,8,0,2,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4833,357,4476,4237,3928,133,22,126,9,19,239,225,57,63,45,3,47,5,3,0,2,0,0,0,0,0,0,14,5,0,1,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29348772.8240438,21990.9609112986
60,31,109,001302,31109001302,13.02,Census Tract 13.02,G5020,S,2175407,0,+40.7927197,-096.6340260,1400000US31109001302,31109001302,"Census Tract 13.02, Lancaster County, Nebraska",3060,2907,2727,65,12,63,1,39,153,149,28,36,17,0,63,2,1,0,0,0,0,1,0,1,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060,138,2922,2822,2681,60,12,62,1,6,100,99,27,35,17,0,18,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23418344.8592336,20317.9820684762
61,31,109,000100,31109000100,1,Census Tract 1,G5020,S,6093715,0,+40.8602484,-096.6229668,1400000US31109000100,31109000100,"Census Tract 1, Lancaster County, Nebraska",3410,3091,2828,96,28,28,0,111,319,302,76,74,34,1,103,7,0,0,3,0,0,4,0,0,0,14,4,1,0,1,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3410,314,3096,2882,2737,89,12,28,0,16,214,207,69,54,34,1,44,4,0,0,1,0,0,0,0,0,0,6,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,65599153.4509625,40913.0110494334
62,31,109,000201,31109000201,2.01,Census Tract 2.01,G5020,S,2639872,0,+40.8442946,-096.6354344,1400000US31109000201,31109000201,"Census Tract 2.01, Lancaster County, Nebraska",4670,4329,4002,113,29,65,1,119,341,321,105,65,36,0,98,8,0,0,7,1,0,0,1,0,0,19,12,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4670,312,4358,4106,3899,110,17,64,0,16,252,240,91,62,36,0,42,8,0,0,0,0,0,0,1,0,0,12,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28418297.571395,24207.1503187466
63,31,109,000202,31109000202,2.02,Census Tract 2.02,G5020,S,1416371,0,+40.8432445,-096.6488734,1400000US31109000202,31109000202,"Census Tract 2.02, Lancaster County, Nebraska",4250,3913,3224,293,63,152,5,176,337,316,109,63,30,3,86,7,6,0,3,0,0,7,0,2,0,20,8,1,0,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250,437,3813,3588,3094,288,37,152,5,12,225,218,92,55,27,3,27,7,6,0,1,0,0,0,0,0,0,7,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15247318.3268634,16912.7414949557
64,31,109,000300,31109000300,3,Census Tract 3,G5020,S,1669349,0,+40.8418720,-096.6610891,1400000US31109000300,31109000300,"Census Tract 3, Lancaster County, Nebraska",3491,3114,2553,233,45,116,1,166,377,369,110,90,31,4,119,4,2,0,6,0,0,3,0,0,0,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3491,360,3131,2866,2470,226,35,116,1,18,265,257,107,77,30,4,30,4,2,0,3,0,0,0,0,0,0,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17970564.3332072,19102.033472856
65,31,109,000400,31109000400,4,Census Tract 4,G5020,S,2486584,0,+40.8297915,-096.6824584,1400000US31109000400,31109000400,"Census Tract 4, Lancaster County, Nebraska",4991,4406,3062,638,92,315,4,295,585,539,112,89,105,1,202,19,2,0,5,0,0,0,0,3,1,46,33,5,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4991,677,4314,3936,2916,622,67,310,3,18,378,337,105,78,103,1,26,19,2,0,0,0,0,0,0,3,0,41,31,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26768186.9962871,23992.7813801025
66,31,109,000500,31109000500,5,Census Tract 5,G5020,S,2046905,142561,+40.8225904,-096.7113473,1400000US31109000500,31109000500,"Census Tract 5, Lancaster County, Nebraska",2292,2088,1695,219,31,99,1,43,204,199,39,30,24,0,85,7,0,0,3,2,0,5,4,0,0,5,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,194,2098,1985,1625,218,29,98,0,15,113,111,34,24,24,0,17,4,0,0,2,2,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23569687.5185313,23865.3154800687
67,31,109,003713,31109003713,37.13,Census Tract 37.13,G5020,S,3179897,85552,+40.7477466,-096.6215204,1400000US31109003713,31109003713,"Census Tract 37.13, Lancaster County, Nebraska",2929,2814,2571,51,3,150,0,39,115,111,14,17,24,0,50,0,0,0,4,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2929,86,2843,2762,2528,51,1,150,0,32,81,81,14,15,18,0,29,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35152767.7688763,28244.8935467126
68,31,109,003301,31109003301,33.01,Census Tract 33.01,G5020,S,4587898,1477300,+40.8234416,-096.7323800,1400000US31109003301,31109003301,"Census Tract 33.01, Lancaster County, Nebraska",4237,3896,3197,249,36,214,5,195,341,323,51,55,30,4,158,9,3,0,6,0,0,7,0,0,0,17,6,0,0,3,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4237,434,3803,3619,3103,243,24,214,5,30,184,174,43,50,28,4,42,4,3,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65292104.9513765,35834.8602401658
69,31,109,003104,31109003104,31.04,Census Tract 31.04,G5020,S,3618032,0,+40.8399269,-096.7295352,1400000US31109003104,31109003104,"Census Tract 31.04, Lancaster County, Nebraska",6093,5259,3928,295,86,301,8,641,834,795,148,104,66,0,451,13,4,0,4,1,0,3,1,0,0,36,10,2,0,2,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6093,1392,4701,4357,3696,282,52,294,6,27,344,331,127,87,66,0,33,10,4,0,2,1,0,0,1,0,0,13,9,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38948343.4157487,28728.8816005989
70,31,109,003103,31109003103,31.03,Census Tract 31.03,G5020,S,2009110,0,+40.8459996,-096.7164350,1400000US31109003103,31109003103,"Census Tract 31.03, Lancaster County, Nebraska",2730,2361,1659,232,50,139,1,280,369,349,65,26,55,1,180,4,0,0,9,0,0,9,0,0,0,20,5,0,1,3,0,0,2,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730,608,2122,1969,1568,221,27,138,1,14,153,144,61,23,51,0,4,4,0,0,1,0,0,0,0,0,0,9,1,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21628174.0326864,24702.1314923933
