acs_release_year,acs_window,GEOID,NAME,median_household_income,poverty_rate_pct,renter_occupied_pct,age_65_plus_pct,elderly_living_alone_pct,disability_pct,nonwhite_pct,limited_english_households_pct,count_age_65_plus,count_elderly_living_alone,count_disabled,count_nonwhite,count_limited_english_households
2022,2018-2022,31109000100,Census Tract 1; Lancaster County; Nebraska,48464,12.14,40.66,17.95,47.02,21.14,16.82,0.0,604,284,707,566,0
2022,2018-2022,31109000201,Census Tract 2.01; Lancaster County; Nebraska,67587,10.26,39.08,16.9,57.01,13.32,12.62,0.58,777,443,606,580,12
2022,2018-2022,31109000202,Census Tract 2.02; Lancaster County; Nebraska,42623,25.94,64.69,10.69,47.8,11.16,19.84,0.0,410,196,428,761,0
2022,2018-2022,31109000300,Census Tract 3; Lancaster County; Nebraska,47053,20.81,75.45,7.97,41.16,14.86,21.44,1.71,328,135,607,882,32
2022,2018-2022,31109000400,Census Tract 4; Lancaster County; Nebraska,46991,33.91,67.38,6.81,50.62,13.51,38.87,6.0,401,203,795,2290,121
2022,2018-2022,31109000500,Census Tract 5; Lancaster County; Nebraska,39476,39.86,89.81,4.53,67.57,19.57,30.7,3.22,111,75,473,753,36
2022,2018-2022,31109000600,Census Tract 6; Lancaster County; Nebraska,42021,57.21,100.0,0.0,,6.62,16.0,0.0,0,0,388,938,0
2022,2018-2022,31109000700,Census Tract 7; Lancaster County; Nebraska,35530,30.8,80.25,12.14,55.56,7.74,52.96,15.08,306,170,195,1335,184
2022,2018-2022,31109000800,Census Tract 8; Lancaster County; Nebraska,49280,27.23,55.34,6.39,33.87,17.36,40.49,11.55,248,84,674,1572,171
2022,2018-2022,31109000900,Census Tract 9; Lancaster County; Nebraska,45000,15.96,60.81,9.24,58.94,13.52,14.53,3.22,302,178,442,475,51
2022,2018-2022,31109001001,Census Tract 10.01; Lancaster County; Nebraska,63750,17.9,30.66,14.46,24.38,10.15,13.89,3.12,480,117,337,461,40
2022,2018-2022,31109001002,Census Tract 10.02; Lancaster County; Nebraska,48620,10.2,83.66,14.35,24.82,10.82,24.14,1.11,274,68,203,461,12
2022,2018-2022,31109001003,Census Tract 10.03; Lancaster County; Nebraska,62594,9.39,71.32,10.86,48.16,18.45,23.5,3.17,434,209,737,939,61
2022,2018-2022,31109001101,Census Tract 11.01; Lancaster County; Nebraska,95601,6.74,23.64,19.14,14.48,10.69,14.05,0.0,884,128,494,649,0
2022,2018-2022,31109001102,Census Tract 11.02; Lancaster County; Nebraska,77708,5.97,14.54,16.05,36.65,9.54,13.61,0.0,532,195,316,451,0
2022,2018-2022,31109001200,Census Tract 12; Lancaster County; Nebraska,78947,8.41,33.62,12.57,20.75,10.0,11.42,1.62,829,172,659,753,39
2022,2018-2022,31109001301,Census Tract 13.01; Lancaster County; Nebraska,76935,6.65,37.36,38.38,36.66,16.32,5.84,1.32,1394,511,590,212,23
2022,2018-2022,31109001302,Census Tract 13.02; Lancaster County; Nebraska,86250,2.78,10.63,24.22,31.85,8.48,15.37,1.22,763,243,267,484,15
2022,2018-2022,31109001400,Census Tract 14; Lancaster County; Nebraska,60490,13.91,26.55,23.16,36.43,13.37,10.0,1.85,1021,372,567,441,37
2022,2018-2022,31109001500,Census Tract 15; Lancaster County; Nebraska,62436,13.34,31.37,15.44,28.19,9.5,13.89,3.13,706,199,417,635,60
2022,2018-2022,31109001600,Census Tract 16; Lancaster County; Nebraska,66314,13.43,39.04,18.46,24.2,11.09,12.67,0.6,1004,243,603,689,16
