acs_release_year,acs_window,GEOID,NAME,median_household_income,poverty_rate_pct,renter_occupied_pct,age_65_plus_pct,elderly_living_alone_pct,disability_pct,nonwhite_pct,limited_english_households_pct,count_age_65_plus,count_elderly_living_alone,count_disabled,count_nonwhite,count_limited_english_households
2023,2019-2023,31109000100,Census Tract 1; Lancaster County; Nebraska,56111,11.82,41.87,19.0,42.21,22.33,15.06,0.97,680,287,794,539,15
2023,2019-2023,31109000201,Census Tract 2.01; Lancaster County; Nebraska,57346,15.24,37.94,18.04,53.47,12.44,10.72,0.57,806,431,547,479,12
2023,2019-2023,31109000202,Census Tract 2.02; Lancaster County; Nebraska,37472,24.06,68.2,11.31,55.16,11.96,19.69,0.43,455,251,481,792,7
2023,2019-2023,31109000300,Census Tract 3; Lancaster County; Nebraska,53206,18.53,75.71,9.09,37.66,15.12,34.61,3.2,385,145,636,1466,62
2023,2019-2023,31109000400,Census Tract 4; Lancaster County; Nebraska,50746,35.63,61.35,7.77,45.82,15.54,36.07,4.59,443,203,884,2056,97
2023,2019-2023,31109000500,Census Tract 5; Lancaster County; Nebraska,39042,37.32,90.8,3.85,81.44,19.69,31.9,2.66,97,79,488,803,33
2023,2019-2023,31109000600,Census Tract 6; Lancaster County; Nebraska,43816,58.84,96.15,0.0,,8.22,16.4,0.0,0,0,509,1016,0
2023,2019-2023,31109000700,Census Tract 7; Lancaster County; Nebraska,46837,25.63,76.84,11.99,43.04,9.64,59.39,13.04,316,136,254,1565,161
2023,2019-2023,31109000800,Census Tract 8; Lancaster County; Nebraska,51846,26.88,51.17,6.71,32.95,17.38,39.83,9.41,258,85,668,1531,137
2023,2019-2023,31109000900,Census Tract 9; Lancaster County; Nebraska,46651,16.31,61.64,9.01,53.11,14.05,15.8,4.13,305,162,476,535,66
2023,2019-2023,31109001001,Census Tract 10.01; Lancaster County; Nebraska,61174,17.46,30.11,15.17,24.09,11.62,14.86,3.22,494,119,378,484,43
2023,2019-2023,31109001002,Census Tract 10.02; Lancaster County; Nebraska,48611,10.69,87.13,10.72,30.19,10.74,18.86,0.79,212,64,208,373,9
2023,2019-2023,31109001003,Census Tract 10.03; Lancaster County; Nebraska,61969,12.38,73.72,12.66,52.49,20.63,24.22,4.41,482,253,785,922,87
2023,2019-2023,31109001101,Census Tract 11.01; Lancaster County; Nebraska,93776,4.05,25.24,19.14,17.45,11.03,12.82,0.0,894,156,515,599,0
2023,2019-2023,31109001102,Census Tract 11.02; Lancaster County; Nebraska,80675,5.0,13.86,19.23,36.94,8.56,11.06,0.0,647,239,288,372,0
2023,2019-2023,31109001200,Census Tract 12; Lancaster County; Nebraska,74071,8.3,34.43,13.41,23.27,11.32,10.93,1.62,855,199,722,697,39
2023,2019-2023,31109001301,Census Tract 13.01; Lancaster County; Nebraska,82167,5.12,33.78,38.46,34.12,14.68,7.05,1.27,1348,460,513,247,21
2023,2019-2023,31109001302,Census Tract 13.02; Lancaster County; Nebraska,94886,3.05,10.27,24.53,23.34,8.38,17.43,0.9,767,179,262,545,11
2023,2019-2023,31109001400,Census Tract 14; Lancaster County; Nebraska,60275,14.39,33.8,21.23,32.16,14.02,11.01,1.29,939,302,597,487,26
2023,2019-2023,31109001500,Census Tract 15; Lancaster County; Nebraska,61866,13.16,26.43,16.38,28.35,10.72,13.57,2.56,723,205,454,599,47
2023,2019-2023,31109001600,Census Tract 16; Lancaster County; Nebraska,71318,11.48,40.25,18.65,24.48,11.46,14.54,0.0,1017,249,625,793,0
2023,2019-2023,31109001700,Census Tract 17; Lancaster County; Nebraska,32317,26.44,87.06,13.34,49.83,28.05,34.43,8.61,586,292,1231,1513,239
2023,2019-2023,31109001800,Census Tract 18; Lancaster County; Nebraska,28285,49.41,89.41,6.31,68.86,14.09,34.77,4.85,167,115,372,920,60
2023,2019-2023,31109001900,Census Tract 19; Lancaster County; Nebraska,34286,51.02,85.51,7.19,46.04,12.69,15.87,0.0,139,64,245,307,0
2023,2019-2023,31109002001,Census Tract 20.01; Lancaster County; Nebraska,33294,21.31,95.97,9.3,71.67,25.51,33.69,7.01,233,167,638,844,113
2023,2019-2023,31109002002,Census Tract 20.02; Lancaster County; Nebraska,34078,30.99,96.42,7.98,60.89,17.27,33.58,4.94,225,137,487,947,76
2023,2019-2023,31109002100,Census Tract 21; Lancaster County; Nebraska,42039,24.77,63.81,5.93,39.16,17.68,20.33,1.03,143,56,426,490,11
2023,2019-2023,31109002200,Census Tract 22; Lancaster County; Nebraska,62310,10.52,54.35,13.1,56.03,21.72,35.2,9.24,655,367,1043,1760,209
2023,2019-2023,31109002300,Census Tract 23; Lancaster County; Nebraska,68205,16.73,48.72,13.68,33.42,15.21,17.79,3.59,751,251,827,977,90
2023,2019-2023,31109002400,Census Tract 24; Lancaster County; Nebraska,134173,6.01,3.25,16.7,29.78,5.92,5.16,0.0,544,162,185,168,0
2023,2019-2023,31109002500,Census Tract 25; Lancaster County; Nebraska,70690,7.36,21.47,20.69,33.16,12.1,18.85,2.02,1122,372,656,1022,49
2023,2019-2023,31109002701,Census Tract 27.01; Lancaster County; Nebraska,52989,6.41,71.9,12.34,59.09,11.8,21.02,4.78,374,221,357,637,66
2023,2019-2023,31109002702,Census Tract 27.02; Lancaster County; Nebraska,79978,5.6,33.3,18.87,21.84,15.11,14.44,3.1,1044,228,818,799,69
2023,2019-2023,31109002800,Census Tract 28; Lancaster County; Nebraska,87000,4.41,29.23,22.01,17.07,11.97,10.88,0.25,1113,190,605,550,6
2023,2019-2023,31109002900,Census Tract 29; Lancaster County; Nebraska,62707,19.39,76.63,9.17,47.56,6.64,26.72,6.68,532,253,385,1550,198
2023,2019-2023,31109003002,Census Tract 30.02; Lancaster County; Nebraska,52731,15.39,43.1,12.3,30.88,17.56,30.3,5.67,421,130,601,1037,85
2023,2019-2023,31109003003,Census Tract 30.03; Lancaster County; Nebraska,55521,13.32,53.43,12.13,39.88,13.05,31.11,6.87,652,260,698,1672,149
2023,2019-2023,31109003004,Census Tract 30.04; Lancaster County; Nebraska,71824,8.18,42.68,26.05,43.17,15.71,17.39,0.0,857,370,517,572,0
2023,2019-2023,31109003005,Census Tract 30.05; Lancaster County; Nebraska,70363,23.56,29.76,16.79,29.14,10.72,23.6,6.21,755,220,480,1061,99
2023,2019-2023,31109003102,Census Tract 31.02; Lancaster County; Nebraska,85734,4.78,36.09,6.09,17.91,5.46,8.8,0.0,363,65,325,524,0
2023,2019-2023,31109003103,Census Tract 31.03; Lancaster County; Nebraska,56875,22.76,54.05,8.28,16.39,20.74,31.38,1.31,238,39,596,902,12
2023,2019-2023,31109003104,Census Tract 31.04; Lancaster County; Nebraska,60308,16.3,53.49,6.64,40.05,15.99,21.21,3.13,377,151,908,1205,70
2023,2019-2023,31109003202,Census Tract 32.02; Lancaster County; Nebraska,66287,19.15,69.1,7.68,9.83,15.9,26.76,0.0,234,23,482,815,0
2023,2019-2023,31109003301,Census Tract 33.01; Lancaster County; Nebraska,65238,17.88,57.3,10.47,19.85,10.52,14.75,0.0,408,81,410,575,0
2023,2019-2023,31109003302,Census Tract 33.02; Lancaster County; Nebraska,103295,9.36,8.19,3.39,23.86,4.28,23.97,1.48,197,47,220,1391,24
2023,2019-2023,31109003401,Census Tract 34.01; Lancaster County; Nebraska,100400,11.35,18.03,7.69,14.87,10.37,29.75,2.93,491,73,540,1900,56
2023,2019-2023,31109003402,Census Tract 34.02; Lancaster County; Nebraska,59250,8.05,33.42,7.97,19.06,10.05,22.18,6.49,530,101,668,1475,151
2023,2019-2023,31109003500,Census Tract 35; Lancaster County; Nebraska,-666666666,68.29,,1.79,0.0,100.0,3.57,,1,0,41,2,0
2023,2019-2023,31109003601,Census Tract 36.01; Lancaster County; Nebraska,-666666666,,,1.76,0.0,,51.27,,20,0,0,584,0
2023,2019-2023,31109003604,Census Tract 36.04; Lancaster County; Nebraska,136736,3.41,20.39,22.18,2.38,9.13,11.24,0.0,841,20,346,426,0
2023,2019-2023,31109003605,Census Tract 36.05; Lancaster County; Nebraska,99269,5.2,7.85,17.99,21.49,11.65,9.76,0.0,684,147,440,371,0
2023,2019-2023,31109003607,Census Tract 36.07; Lancaster County; Nebraska,100259,9.21,56.73,9.06,16.82,4.96,21.25,0.41,422,71,230,990,8
2023,2019-2023,31109003608,Census Tract 36.08; Lancaster County; Nebraska,86250,7.17,42.57,16.02,31.58,13.91,5.97,0.72,228,72,198,85,5
2023,2019-2023,31109003609,Census Tract 36.09; Lancaster County; Nebraska,124688,8.52,21.71,26.37,21.44,14.74,11.59,5.57,653,140,365,287,58
2023,2019-2023,31109003704,Census Tract 37.04; Lancaster County; Nebraska,60949,13.63,63.16,8.04,34.23,9.62,13.72,0.0,444,152,531,758,0
2023,2019-2023,31109003708,Census Tract 37.08; Lancaster County; Nebraska,94853,7.87,41.37,27.02,25.96,9.31,11.92,0.4,1063,276,365,469,7
2023,2019-2023,31109003709,Census Tract 37.09; Lancaster County; Nebraska,97841,8.96,32.51,12.68,17.58,5.99,10.35,0.0,620,109,293,506,0
2023,2019-2023,31109003713,Census Tract 37.13; Lancaster County; Nebraska,104742,3.59,30.36,24.09,13.67,7.49,10.36,0.0,695,95,216,299,0
2023,2019-2023,31109003714,Census Tract 37.14; Lancaster County; Nebraska,140159,1.08,25.77,15.01,27.71,9.09,11.29,0.78,848,235,513,638,17
2023,2019-2023,31109003715,Census Tract 37.15; Lancaster County; Nebraska,132868,4.99,13.95,22.8,18.07,5.63,8.79,0.0,498,90,123,192,0
2023,2019-2023,31109003716,Census Tract 37.16; Lancaster County; Nebraska,106633,2.37,32.18,14.16,31.27,9.03,13.07,0.37,710,222,452,655,7
2023,2019-2023,31109003718,Census Tract 37.18; Lancaster County; Nebraska,122409,2.36,15.8,22.62,18.8,10.79,9.2,0.0,883,166,420,359,0
2023,2019-2023,31109003719,Census Tract 37.19; Lancaster County; Nebraska,104174,4.22,31.48,15.89,21.46,6.55,8.17,1.89,848,182,346,436,42
2023,2019-2023,31109003721,Census Tract 37.21; Lancaster County; Nebraska,90792,6.33,37.85,22.48,29.12,8.24,9.13,2.89,886,258,324,360,51
2023,2019-2023,31109003722,Census Tract 37.22; Lancaster County; Nebraska,46795,7.65,62.92,47.33,51.62,27.78,3.12,0.0,833,430,472,55,0
2023,2019-2023,31109003723,Census Tract 37.23; Lancaster County; Nebraska,108359,4.25,7.36,20.57,21.89,10.39,12.6,0.0,813,178,410,498,0
2023,2019-2023,31109003724,Census Tract 37.24; Lancaster County; Nebraska,106818,3.42,26.79,29.64,24.12,10.04,10.24,0.89,1074,259,362,371,15
2023,2019-2023,31109003725,Census Tract 37.25; Lancaster County; Nebraska,140929,4.04,1.01,13.29,16.42,12.6,3.81,0.0,481,79,455,138,0
2023,2019-2023,31109003726,Census Tract 37.26; Lancaster County; Nebraska,101625,2.75,30.28,12.71,16.99,4.84,21.14,1.59,365,62,139,607,17
2023,2019-2023,31109003727,Census Tract 37.27; Lancaster County; Nebraska,128693,4.15,8.28,20.33,4.58,6.44,9.54,1.49,524,24,166,246,14
2023,2019-2023,31109003728,Census Tract 37.28; Lancaster County; Nebraska,77177,13.07,38.12,14.93,5.58,8.28,25.78,0.77,789,44,437,1362,16
2023,2019-2023,31109003801,Census Tract 38.01; Lancaster County; Nebraska,82660,15.5,29.44,36.76,39.54,17.85,12.17,3.29,1740,688,845,576,70
2023,2019-2023,31109003802,Census Tract 38.02; Lancaster County; Nebraska,92232,4.84,11.6,20.6,28.1,10.5,10.87,0.0,669,188,341,353,0
2023,2019-2023,31109010100,Census Tract 101; Lancaster County; Nebraska,113849,2.26,12.34,19.77,18.61,6.86,2.77,0.18,1472,274,503,206,5
2023,2019-2023,31109010202,Census Tract 102.02; Lancaster County; Nebraska,112788,4.19,13.06,18.32,20.32,8.65,5.24,0.0,822,167,387,235,0
2023,2019-2023,31109010203,Census Tract 102.03; Lancaster County; Nebraska,140179,5.84,26.66,8.55,36.02,8.39,4.72,1.08,161,58,158,89,8
2023,2019-2023,31109010204,Census Tract 102.04; Lancaster County; Nebraska,74706,16.86,44.77,4.49,27.94,6.39,34.1,5.57,247,69,346,1877,117
2023,2019-2023,31109010300,Census Tract 103; Lancaster County; Nebraska,113790,5.31,8.57,22.85,13.3,15.11,7.0,0.17,1045,139,691,320,3
2023,2019-2023,31109010401,Census Tract 104.01; Lancaster County; Nebraska,115400,1.53,6.85,13.15,23.18,8.1,2.13,0.42,647,150,397,105,7
2023,2019-2023,31109010402,Census Tract 104.02; Lancaster County; Nebraska,111771,3.7,9.12,16.83,23.76,11.22,5.88,1.27,905,215,595,316,24
