acs_release_year,acs_window,GEOID,NAME,median_household_income,poverty_rate_pct,renter_occupied_pct,age_65_plus_pct,elderly_living_alone_pct,disability_pct,nonwhite_pct,limited_english_households_pct,count_age_65_plus,count_elderly_living_alone,count_disabled,count_nonwhite,count_limited_english_households
2021,2017-2021,31109003301,"Census Tract 33.01, Lancaster County, Nebraska",54477,21.12,49.48,11.02,38.57,8.89,13.64,0.52,420,162,339,520,9
2021,2017-2021,31109003302,"Census Tract 33.02, Lancaster County, Nebraska",97125,7.29,6.18,4.43,24.69,6.21,18.8,3.16,239,59,305,1015,47
2021,2017-2021,31109003401,"Census Tract 34.01, Lancaster County, Nebraska",88385,9.95,20.43,7.07,20.22,9.34,24.95,6.43,450,91,473,1588,117
2021,2017-2021,31109003402,"Census Tract 34.02, Lancaster County, Nebraska",62188,11.48,31.37,7.51,33.12,7.99,20.3,7.03,471,156,501,1273,161
2021,2017-2021,31109003500,"Census Tract 35, Lancaster County, Nebraska",-666666666,,,9.62,0.0,,17.31,,10,0,0,18,0
2021,2017-2021,31109003601,"Census Tract 36.01, Lancaster County, Nebraska",-666666666,,,3.56,0.0,,48.89,,45,0,0,618,0
2021,2017-2021,31109003604,"Census Tract 36.04, Lancaster County, Nebraska",119438,3.92,20.48,21.31,9.7,10.22,5.6,0.0,742,72,356,195,0
2021,2017-2021,31109003605,"Census Tract 36.05, Lancaster County, Nebraska",85000,6.67,11.84,12.68,30.96,9.21,12.26,0.0,520,161,375,503,0
2021,2017-2021,31109003607,"Census Tract 36.07, Lancaster County, Nebraska",83750,8.15,54.42,8.16,14.54,4.35,25.86,3.54,392,57,208,1242,66
2021,2017-2021,31109003608,"Census Tract 36.08, Lancaster County, Nebraska",65179,12.85,44.75,15.41,36.73,13.29,7.31,0.61,196,72,169,93,4
2021,2017-2021,31109003609,"Census Tract 36.09, Lancaster County, Nebraska",129250,4.41,21.49,22.78,15.99,8.69,10.48,2.05,563,90,214,259,20
2021,2017-2021,31109003704,"Census Tract 37.04, Lancaster County, Nebraska",53031,10.95,68.79,7.25,21.46,6.64,21.06,3.19,410,88,375,1192,79
2021,2017-2021,31109003708,"Census Tract 37.08, Lancaster County, Nebraska",76597,11.7,45.58,25.17,33.84,12.52,9.53,0.0,990,335,491,375,0
2021,2017-2021,31109003709,"Census Tract 37.09, Lancaster County, Nebraska",86333,7.48,27.5,12.35,14.51,6.08,9.35,0.62,634,92,312,480,12
2021,2017-2021,31109003713,"Census Tract 37.13, Lancaster County, Nebraska",106667,5.11,29.2,23.95,7.01,8.61,8.65,0.0,670,47,241,242,0
2021,2017-2021,31109003714,"Census Tract 37.14, Lancaster County, Nebraska",124615,2.03,20.37,12.33,23.61,6.62,9.54,1.76,631,149,338,488,33
2021,2017-2021,31109003715,"Census Tract 37.15, Lancaster County, Nebraska",116953,6.02,14.54,20.94,19.24,5.18,10.67,4.89,473,91,117,241,41
2021,2017-2021,31109003716,"Census Tract 37.16, Lancaster County, Nebraska",103625,3.48,33.3,11.32,31.19,6.79,14.78,1.56,606,189,363,791,30
2021,2017-2021,31109003718,"Census Tract 37.18, Lancaster County, Nebraska",131667,1.18,7.55,22.69,4.71,6.42,11.23,0.0,806,38,228,399,0
2021,2017-2021,31109003719,"Census Tract 37.19, Lancaster County, Nebraska",114914,3.81,24.21,14.47,16.6,6.99,9.62,2.17,771,128,372,513,45
2021,2017-2021,31109003721,"Census Tract 37.21, Lancaster County, Nebraska",83167,4.85,34.48,21.04,21.23,6.12,8.23,2.99,895,190,260,350,54
2021,2017-2021,31109003722,"Census Tract 37.22, Lancaster County, Nebraska",44138,10.27,69.01,43.55,48.32,29.27,1.74,0.0,803,388,519,32,0
2021,2017-2021,31109003723,"Census Tract 37.23, Lancaster County, Nebraska",96619,2.84,2.88,19.03,20.08,8.36,7.64,0.0,792,159,348,318,0
2021,2017-2021,31109003724,"Census Tract 37.24, Lancaster County, Nebraska",74826,2.41,27.92,28.06,28.03,6.7,6.88,0.0,1081,303,258,265,0
2021,2017-2021,31109003725,"Census Tract 37.25, Lancaster County, Nebraska",141308,1.38,11.59,10.37,22.12,9.26,4.09,0.0,330,73,294,130,0
2021,2017-2021,31109003726,"Census Tract 37.26, Lancaster County, Nebraska",110234,1.25,34.59,11.97,8.47,5.11,18.09,1.99,307,26,131,464,18
2021,2017-2021,31109003727,"Census Tract 37.27, Lancaster County, Nebraska",113208,5.97,11.15,23.55,4.88,6.41,9.28,1.49,533,26,145,210,13
2021,2017-2021,31109003728,"Census Tract 37.28, Lancaster County, Nebraska",75817,7.76,29.99,16.02,12.89,9.6,15.37,0.0,714,92,427,685,0
2021,2017-2021,31109003801,"Census Tract 38.01, Lancaster County, Nebraska",70709,10.61,23.9,33.94,34.49,17.59,7.08,2.52,1586,547,822,331,54
2021,2017-2021,31109003802,"Census Tract 38.02, Lancaster County, Nebraska",81630,8.92,17.42,19.19,23.0,11.27,7.48,1.88,613,141,360,239,25
2021,2017-2021,31109010100,"Census Tract 101, Lancaster County, Nebraska",98125,2.9,15.39,19.32,18.37,8.62,2.55,0.0,1328,244,585,175,0
2021,2017-2021,31109010202,"Census Tract 102.02, Lancaster County, Nebraska",96974,4.15,11.7,15.67,15.08,6.03,5.08,0.0,703,106,270,228,0
2021,2017-2021,31109010203,"Census Tract 102.03, Lancaster County, Nebraska",125085,2.61,26.81,4.98,32.93,5.9,8.02,1.42,82,27,97,132,9
2021,2017-2021,31109010204,"Census Tract 102.04, Lancaster County, Nebraska",67500,16.49,51.34,4.58,9.91,5.49,23.18,3.24,232,23,273,1175,63
2021,2017-2021,31109010300,"Census Tract 103, Lancaster County, Nebraska",97852,4.23,4.76,26.98,10.35,17.5,3.51,0.0,1246,129,802,162,0
2021,2017-2021,31109010401,"Census Tract 104.01, Lancaster County, Nebraska",97391,1.59,7.42,13.43,15.93,7.83,1.23,0.53,590,94,344,54,8
2021,2017-2021,31109010402,"Census Tract 104.02, Lancaster County, Nebraska",99911,3.36,7.99,16.02,27.55,12.16,3.43,2.09,864,238,645,185,41
2021,2017-2021,31109983200,"Census Tract 9832, Lancaster County, Nebraska",-666666666,0.0,100.0,0.0,,0.0,50.74,0.0,0,0,0,69,0
